part.str,Type,k
LEVO 4,STR,0.002398983
LGL 1,STR,0.031447572
LGL 2,STR,0.005002269
LGL 3,STR,0.008664597
LGL 4,STR,0.004839551
LH 1,STR,0.012661776
LH 2,STR,0.054460466
LH 3,STR,0.11152427
LH 4,STR,0.025178876
LR 1,STR,0.035569449
LR 2,STR,0.070492638
LR 3,STR,0.088860872
LR 4,STR,0.033827874
LUZB 1,STR,0.014041028
LUZB 2,STR,0.005845122
LUZB 3,STR,0.007647713
LUZB 4,STR,0.003788512
MANG 1,STR,0.00247822
MANG 2,STR,0.002121126
MANG 3,STR,0.003825403
MANG 4,STR,0.002333554
MB 1,STR,0.007295264
MB 2,STR,0.007646315
MB 3,STR,0.013761581
MB 4,STR,0.023729949
MC 1,STR,0.05529947
MC 2,STR,0.040878862
MC 3,STR,0.022718523
MC 4,STR,0.038931899
MD 1,STR,0.004793373
MD 2,STR,0.021909056
MD 3,STR,0.058621968
MD 4,STR,0.003506974
MG 3,STR,0.101757442
MIDA 1,STR,0.065105783
MIDA 3,STR,0.055961701
MIDA 4,STR,0.110073134
MINI 1,STR,0.004136669
MINI 2,STR,0.002604911
MINI 3,STR,0.001873634
MINI 4,STR,0.002474564
MM 1,STR,0.040928258
MM 2,STR,0.003760552
NG 1,STR,0.002227927
NG 2,STR,0.002017492
NG 3,STR,0.004901525
NG 4,STR,0.001670808
PEGS 1,STR,0.0624738
PEGS 2,STR,0.030206719
PEGS 3,STR,0.014018091
PEGS 4,STR,0.014823127
PEMC 1,STR,0.061010191
PEMC 2,STR,0.061893389
PEMC 3,STR,0.097576467
